20:53, 8th June 2020	4TIRES	4OIL	5SPARK PLUGS	$750
20:54, 8th June 2020	2 TIRES	2 OIL	2 SPARK PLUGS	$360
21:41, 8th June 2020	3 TIRES	4 OIL	5 SPARK PLUGS	$650
23:33, 8th June 2020	0 TIRES	1 OIL	2 SPARK PLUGS	$110
00:12, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:13, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:13, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:13, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:15, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:15, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:15, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:16, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:17, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:17, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:17, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:18, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:18, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:18, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:18, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:18, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
00:18, 9th June 2020	2 TIRES	3 OIL	4 SPARK PLUGS	$470
